title,description,component
Configuration class fails to find embedded .jar resources; should use URL.openStream(),"While running a hadoop client within RHQ (monitoring software) using its classloader, I see this:    2012-02-07 09:15:25,313 INFO  [ResourceContainer.invoker.daemon-2] (org.apache.hadoop.conf.Configuration)- parsing jar:file:/usr/local/rhq-agent/data/tmp/rhq-hadoop-plugin-4.3.0-SNAPSHOT.jar6856622641102893436.classloader/hadoop-core-0.20.2+737+1.jar7204287718482036191.tmp!/core-default.xml  2012-02-07 09:15:25,318 ERROR [InventoryManager.discovery-1] (rhq.core.pc.inventory.InventoryManager)- Failed to start component for Resource[id=16290, type=NameNode, key=NameNode:/usr/lib/hadoop-0.20, name=NameNode, parent=vg61l01ad-hadoop002.apple.com] from synchronized merge.  org.rhq.core.clientapi.agent.PluginContainerException: Failed to start component for resource Resource[id=16290, type=NameNode, key=NameNode:/usr/lib/hadoop-0.20, name=NameNode, parent=vg61l01ad-hadoop002.apple.com].  Caused by: java.lang.RuntimeException: core-site.xml not found    org.apache.hadoop.conf.Configuration.loadResource(Configuration.java:1308)    org.apache.hadoop.conf.Configuration.loadResources(Configuration.java:1228)    org.apache.hadoop.conf.Configuration.getProps(Configuration.java:1169)    org.apache.hadoop.conf.Configuration.set(Configuration.java:438)    This is because the URL    jar:file:/usr/local/rhq-agent/data/tmp/rhq-hadoop-plugin-4.3.0-SNAPSHOT.jar6856622641102893436.classloader/hadoop-core-0.20.2+737+1.jar7204287718482036191.tmp!/core-default.xml    cannot be found by DocumentBuilder (doesn't understand it). (Note: the logs are for an old version of Configuration class, but the new version has the same code.)    The solution is to obtain the resource stream directly from the URL object itself.    That is to say:    {code}           URL url = getResource((String)name);  -        if (url != null) {  -          if (!quiet) {  -            LOG.info(""parsing "" + url);  -          }  -          doc = builder.parse(url.toString());  -        }  +        doc = builder.parse(url.openStream());  {code}    Note: I have a full patch pending approval at Apple for this change, including some cleanup.",conf
mvn site:stage-deploy should be able to use the scp protocol to stage documents,mvn site:stage-deploy should be able to use the scp protocol to stage documents.    http://maven.apache.org/plugins/maven-site-plugin/examples/adding-deploy-protocol.html shows what we need to add to the pom.xml,"build,documentation"
HADOOP_JAVA_PLATFORM_OPS is no longer respected,"HADOOP-6284 introduced HADOOP_JAVA_PLATFORM_OPS and it's in branch-1, however it's not in trunk or 22, 23. It's referenced in hadoop-env.sh (commented out) but not actually used anywhere, not sure when it was removed from bin/hadoop. Perhaps the intention was to just use HADOOP_OPTS?",conf
Add comment/docs to enable assertions in hadoop-env.sh,"For testing it's useful to enable jvm assertions.   Let's add a commented out line to hadoop-env.sh that sets the ""-enableassertions"" and ""-enablesystemassertions"" jvm options to make it easier to run ""debug"" builds. Per HADOOP-8033 perhaps this should be HADOOP_JAVA_PLATFORM_OPTS.  ","conf,scripts"
Hadoop Maven site is inefficient and runs phases redundantly,"The Hadoop 0.23 Maven build has some major inefficiencies, most notably in site and javadoc. As a result of redundant plugin executions and certain plugin executions being inherited when they really shouldn't be, builds take a lot longer than they should.",build
TestViewFsTrash assumes the user's home directory is 2 levels deep,"Looks like HADOOP-7974 didn't fix the issue. Still get ""Path /var already exists as dir; cannot create link here Stacktrace"" when running on jenkins with home dir /var/lib/jenkins.    {noformat}  org.apache.hadoop.fs.FileAlreadyExistsException: Path /var already exists as dir; cannot create link here    org.apache.hadoop.fs.viewfs.InodeTree.createLink(InodeTree.java:244)    org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:334)    org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:165)  {noformat}","fs,test"
"Binary tarball does not preserve platform info for native builds, and RPMs fail to provide needed symlinks for libhadoop.so","The source tarball uses ""package"" ant target, which includes both sets of native builds (32 and 64 bit libraries), under subdirectories that are named for the supported platform, so you can tell what they are.    The binary tarball uses the ""bin-package"" ant target, which projects both sets of native builds into a single directory, stripping out the platform names from the directory paths.  Since the native built libraries have identical names, only one of each survives the process.  Afterward, there is no way to know whether they are intended for 32 or 64 bit environments.    It seems to be done this way as a step toward building the rpm and deb artifacts.  But the rpms and debs are self-identifying as to the platform they were built for, and contain only one set of libs each, while the binary tarball isn't.  The binary tarball should have the same platform-specific subdirectories that the full tarball does; but this means that the rpm and deb builds have to be more careful about include/exclude specs for what goes into those artifacts.  ",build
HA: Add 'ipc.client.connect.max.retries.on.timeouts' entry in core-default.xml file.,"HADOOP-7932 added the new property 'ipc.client.connect.max.retries.on.timeouts', which needs to be added in core-default.xml with documentation.","conf,ha"
mvn site:stage-deploy should not have broken links.,The stage-deployed site has a lot of broken links / missing pages. We should fix that.,"build,documentation"
Add symlink support to FileSystem,"HADOOP-6421 added symbolic links to FileContext. Resolving symlinks is done on the client-side, and therefore requires client support. An HDFS symlink (created by FileContext) when accessed by FileSystem will result in an unhandled UnresolvedLinkException. Because not all users will migrate from FileSystem to FileContext in lock step, and we want users of FileSystem to be able to access all paths created by FileContext, we need to support symlink resolution in FileSystem as well, to facilitate migration to FileContext.",fs
HA: log a warning when a failover is first attempted ,"Currently we always warn for each client operation made to a NN we've failedover to:    {noformat}  hadoop-0.24.0-SNAPSHOT $ ./bin/hdfs dfs -lsr /  12/02/08 17:43:04 WARN retry.RetryInvocationHandler: Exception while invoking getFileInfo of class  org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolTranslatorPB after 0 fail over attempts. Trying to fail over immediately.  {noformat}    I'm going to remove this warning in HDFS-2922 since we shouldn't warn every time a client performs an operation, eg could be weeks after the failover. But we should eg log a warning when the client first does a failover so it shows up eg in the MR and HBase logs.",ha
KerberosAuthenticationFilter and friends have some problems,KerberosAuthenticationFilter and friends have three killer usability issues and bugs:    1. Documentation is misleading/wrong.  2. Shared secret stored in a world readable file.  3. Lacks support for _HOST macro  ,security
Unify ProtocolMetaInterface and ProtocolTranslator interface,"In the HA branch we have a ""ProtocolTranslator"" interface which we had to add, and it seems to have the same purpose as the ""ProtocolMetaInterface"" interface which got added in trunk in the meantime. We should unify the two.","ha,ipc"
org.apache.hadoop.mapreduce.lib.output.MultipleOutputs does not handle many files well,"We were tryong to use MultipleOutputs to write one file per key. This produced the error:    exception:  org.apache.hadoop.ipc.RemoteException: java.io.IOException: File  /user/me/part6/_temporary/  _attempt_201202071305_0017_r_000000_2/2011-11-18-22-  attempt_201202071305_0017_r_000000_2-r-00000  could only be replicated to 0 nodes, instead of 1      at  org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getAdditionalBlock(FSNamesystem.java:  1520)      at  org.apache.hadoop.hdfs.server.namenode.NameNode.addBlock(NameNode.java:  665)      at sun.reflect.GeneratedMethodAccessor4.invoke(Unknown Source)      at  sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:  25)      at java.lang.reflect.Method.invoke(Method.java:597)      at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:557)      at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:1434)      at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:1430)      at java.security.AccessController.doPrivileged(Native Method)      at javax.security.auth.Subject.doAs(Subject.java:396)      at  org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:  1157)     When the nr. of files processed increased over 20 on a single developer system.     The solution proved to be to close each RecordWriter when the reducer was finished with a key, something that required that we extended the multiple outputs to fetch the recordwriter - not a good solution.     ",io
CachedDNSToSwitchMapping caches negative results forever,"This is very minor, just worth filing in JIRA unless someone wants to rethink topology caching for a dynamic world.    # The CachedDNSToSwitchMapping caches the results from all relayed DNS queries.  # The DNS script mapper returns the default rack for all unknown entries (or when the script fails)  # The Cache stores this in its map and never re-resolves it.    As a result, if a node is added to a live cluster that the existing script cannot resolve, then it won't get assigned to a rack unless the script is updated before the rack map is resolved.     This isn't usually that important, it just means ""update your scripts before adding new racks"". Perhaps there should be a page on that activity, ""runbook and checklist for adding new servers and racks"".    Where it would matter if anyone started playing with dynamic topologies, but in that situation the cached mapping itself would become the liability, as it assumes that servers never switch switches in a live system: the topology is static for existing nodes. ",util
Allow merging of Credentials,"There is an existing {{Credentials#addAll}} which combines two {{Credentials}}, but it overwrites all existing {{Credentials}}.  There should be a {{Credentials#mergeAll}} that will not overwrite.  This will facility the cleanup of code in {{TokenCache}} denoted with:  {code}  //TODO: Need to come up with a better place to put  //this block of code to do with reading the file  {code}    The token cache basically needs to merge the contents of a binary credentials file when it fails to find a token.  Performing the merge within {{Credentials}} is cleaner, and will break the cross-component dependency whereby the {{TokenCache}} currently has to have intimate knowledge of how the {{FileSystem}} will key tokens in the cache.",util
Add entry point/script to do preflight checking of script resolution,"The script supplied by the ops team could have many problems  # not run  # have the wrong permissions  # fail to parse/resolve some or all hosts  # not be the string set in the configuration file.    Diagnostics could be improved here with an entry point that  # reads in the configuration file  # instantiates whatever mapper is declared  # attempts to resolve all hosts passed in as arguments, logging success and failures  # prints out a topology map at the end  A key goal would be to recognise and report a complete failure to report a mapping as per MAPREDUCE-50, so let people identify problems in their script before updating the cluster    Test plan  -Java entry point: invoke it with arguments, get the output as a string and scan.  -Shell script. Include whatever post-install script tests are being written.",util
